Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Akuapem. 2nd Grade,LO.EGRA.NCWPM.AKU.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Amharic. 2nd Grade,LO.EGRA.NCWPM.AMH.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Amharic. 3rd Grade,LO.EGRA.NCWPM.AMH.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Arabic. 2nd Grade,LO.EGRA.NCWPM.ARB.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Arabic. 3rd Grade,LO.EGRA.NCWPM.ARB.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Asante Twi. 2nd Grade,LO.EGRA.NCWPM.AST.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Bamanankan. 2nd Grade,LO.EGRA.NCWPM.BMN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Bomu. 2nd Grade,LO.EGRA.NCWPM.BOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Chichewa. 2nd Grade,LO.EGRA.NCWPM.CHC.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Chichewa. 4th Grade,LO.EGRA.NCWPM.CHC.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Chitonga. 2nd Grade,LO.EGRA.NCWPM.CHI.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Cinyanja. 2nd Grade,LO.EGRA.NCWPM.CIN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Dagaare. 2nd Grade,LO.EGRA.NCWPM.DAG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Dagbani. 2nd Grade,LO.EGRA.NCWPM.DAGB.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
